title,vote_count,vote_average,popularity,genres
Minions,4571,6.4,875.581305,"Family', 'Animation', 'Adventure', 'Comedy'"
Interstellar,10867,8.1,724.247784,"['Adventure', 'Drama', 'Science Fiction']"
Deadpool,10995,7.4,514.569956,"['Action', 'Adventure', 'Comedy']"
Guardians of the Galaxy,9742,7.9,481.098624,"['Action', 'Science Fiction', 'Adventure']"
Mad Max: Fury Road,9427,7.2,434.278564,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Jurassic World,8662,6.5,418.708552,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Pirates of the Caribbean: The Curse of the Black Pearl,6985,7.5,271.972889,"['Adventure', 'Fantasy', 'Action']"
Dawn of the Planet of the Apes,4410,7.3,243.791743,"['Science Fiction', 'Action', 'Drama', 'Thriller']"
The Hunger Games: Mockingjay - Part 1,5584,6.6,206.227151,"['Science Fiction', 'Adventure', 'Thriller']"
Big Hero 6,6135,7.8,203.73459,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']"
Terminator Genisys,3631,5.8,202.042635,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
Captain America: Civil War,7241,7.1,198.372395,"['Adventure', 'Action', 'Science Fiction']"
Whiplash,4254,8.3,192.528841,['Drama']
The Dark Knight,12002,8.2,187.322927,"['Drama', 'Action', 'Crime', 'Thriller']"
The Martian,7268,7.6,167.93287,"['Drama', 'Adventure', 'Science Fiction']"
Inception,13752,8.1,167.58371,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']"
Frozen,5295,7.3,165.125366,"['Animation', 'Adventure', 'Family']"
Batman v Superman: Dawn of Justice,7004,5.7,155.790452,"['Action', 'Adventure', 'Fantasy']"
Avatar,11800,7.2,150.437577,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Fight Club,9413,8.3,146.757391,['Drama']
Pirates of the Caribbean: Dead Man's Chest,5246,7,145.847379,"['Adventure', 'Fantasy', 'Action']"
The Imitation Game,5723,8,145.364591,"['History', 'Drama', 'Thriller', 'War']"
The Avengers,11776,7.4,144.448633,"['Science Fiction', 'Action', 'Adventure']"
The Godfather,5893,8.4,143.659698,"['Drama', 'Crime']"
Teenage Mutant Ninja Turtles,2636,5.8,143.350376,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']"
Gone Girl,5862,7.9,143.041543,"['Mystery', 'Thriller', 'Drama']"
Pixels,2513,5.6,140.849495,"['Action', 'Comedy', 'Science Fiction']"
Fury,3946,7.4,139.575085,"['War', 'Drama', 'Action']"
X-Men: Apocalypse,4721,6.4,139.272042,['Science Fiction']
Pirates of the Caribbean: At World's End,4500,6.9,139.082615,"['Adventure', 'Fantasy', 'Action']"
Rise of the Planet of the Apes,4347,7,138.433168,"['Thriller', 'Action', 'Drama', 'Science Fiction']"
Forrest Gump,7927,8.2,138.133331,"['Comedy', 'Drama', 'Romance']"
The Lord of the Rings: The Fellowship of the Ring,8705,8,138.049577,"['Adventure', 'Fantasy', 'Action']"
Despicable Me 2,4637,7,136.886704,"['Animation', 'Comedy', 'Family']"
The Shawshank Redemption,8205,8.5,136.747729,"['Drama', 'Crime']"
Pirates of the Caribbean: On Stranger Tides,4948,6.4,135.413856,"['Adventure', 'Action', 'Fantasy']"
Avengers: Age of Ultron,6767,7.3,134.279229,"['Action', 'Adventure', 'Science Fiction']"
Harry Potter and the Chamber of Secrets,5815,7.4,132.397737,"['Adventure', 'Fantasy', 'Family']"
The Maze Runner,5371,7,131.815575,"['Action', 'Mystery', 'Science Fiction', 'Thriller']"
Tomorrowland,2846,6.2,130.311355,"['Adventure', 'Family', 'Mystery', 'Science Fiction']"
Inside Out,6560,8,128.655964,"['Drama', 'Comedy', 'Animation', 'Family']"
One Flew Over the Cuckoo's Nest,2919,8.2,127.525581,['Drama']
The Hunger Games: Mockingjay - Part 2,3984,6.6,127.284427,"['Action', 'Adventure', 'Science Fiction']"
Twilight,3561,5.8,127.084938,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
Star Wars,6624,8.1,126.393695,"['Adventure', 'Action', 'Science Fiction']"
Brave,4641,6.7,125.114374,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']"
The Lord of the Rings: The Return of the King,8064,8.1,123.630332,"['Adventure', 'Fantasy', 'Action']"
Pulp Fiction,8428,8.3,121.463076,"['Thriller', 'Crime']"
The Hobbit: The Battle of the Five Armies,4760,7.1,120.965743,"['Action', 'Adventure', 'Fantasy']"
Iron Man,8776,7.4,120.725053,"['Action', 'Science Fiction', 'Adventure']"
Ant-Man,5880,7,120.09361,"['Science Fiction', 'Action', 'Adventure']"
Spirited Away,3840,8.3,118.968562,"['Fantasy', 'Adventure', 'Animation', 'Family']"
X-Men: Days of Future Past,6032,7.5,118.078691,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Transformers: Age of Extinction,3095,5.8,116.840296,"['Science Fiction', 'Action', 'Adventure']"
Chappie,3062,6.6,116.700319,"['Crime', 'Action', 'Science Fiction']"
Spider-Man 3,3576,5.9,115.699814,"['Fantasy', 'Action', 'Adventure']"
Night at the Museum: Secret of the Tomb,1851,6.1,115.597753,"['Adventure', 'Comedy', 'Fantasy', 'Family']"
Lucy,5878,6.3,115.241998,"['Action', 'Science Fiction']"
Batman Begins,7359,7.5,115.040024,"['Action', 'Crime', 'Drama']"
Mission: Impossible - Rogue Nation,3224,7.1,114.522237,"['Action', 'Adventure', 'Thriller']"
Despicable Me,6478,7.1,113.858273,"['Animation', 'Family']"
Maze Runner: The Scorch Trials,3040,6.4,113.161483,['Action']
The Dark Knight Rises,9106,7.6,112.31295,"['Action', 'Crime', 'Drama', 'Thriller']"
Maleficent,4496,7,110.620647,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']"
Gravity,5751,7.3,110.153618,"['Science Fiction', 'Thriller', 'Drama']"
Harry Potter and the Philosopher's Stone,7006,7.5,109.984351,"['Adventure', 'Fantasy', 'Family']"
Bruce Almighty,3012,6.4,109.684788,"['Fantasy', 'Comedy']"
The Fifth Element,3885,7.3,109.528572,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']"
The Hobbit: An Unexpected Journey,8297,7,108.849621,"['Adventure', 'Fantasy', 'Action']"
Quantum of Solace,2965,6.1,107.928811,"['Adventure', 'Action', 'Thriller', 'Crime']"
Spectre,4466,6.3,107.376788,"['Action', 'Adventure', 'Crime']"
The Twilight Saga: Eclipse,2301,5.8,107.069763,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
The Lord of the Rings: The Two Towers,7487,8,106.914973,"['Adventure', 'Fantasy', 'Action']"
"Monsters, Inc.",5996,7.5,106.815545,"['Animation', 'Comedy', 'Family']"
The Godfather: Part II,3338,8.3,105.792936,"['Drama', 'Crime']"
Schindler's List,4329,8.3,104.469351,"['Drama', 'History', 'War']"
The Matrix,8907,7.9,104.309993,"['Action', 'Science Fiction']"
Men in Black,4412,6.9,104.121555,"['Action', 'Adventure', 'Comedy', 'Science Fiction']"
Insurgent,3829,6.2,103.718387,"['Adventure', 'Science Fiction', 'Thriller']"
The Green Mile,4048,8.2,103.698022,"['Fantasy', 'Drama', 'Crime']"
Furious 7,4176,7.3,102.322217,['Action']
Terminator 2: Judgment Day,4185,7.7,101.74155,"['Action', 'Thriller', 'Science Fiction']"
Exodus: Gods and Kings,1921,5.6,101.599427,"['Adventure', 'Drama', 'Action']"
Harry Potter and the Goblet of Fire,5608,7.5,101.250416,"['Adventure', 'Fantasy', 'Family']"
Cinderella,2374,6.7,101.187052,"['Romance', 'Fantasy', 'Family', 'Drama']"
It Follows,1832,6.6,100.876794,"['Horror', 'Thriller']"
The Revenant,6396,7.3,100.635882,"['Western', 'Drama', 'Adventure', 'Thriller']"
San Andreas,2968,6,100.412364,"['Action', 'Drama', 'Thriller']"
We're the Millers,2972,6.8,100.348805,"['Comedy', 'Crime']"
How to Train Your Dragon 2,3106,7.6,100.21391,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']"
Titanic,7562,7.5,100.025899,"['Drama', 'Romance', 'Thriller']"
The Twilight Saga: Breaking Dawn - Part 2,2553,6.1,99.687084,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
Ice Age,3857,7.1,99.561972,"['Animation', 'Comedy', 'Family', 'Adventure']"
Thor: The Dark World,4755,6.8,99.499595,"['Action', 'Adventure', 'Fantasy']"
Man of Steel,6359,6.5,99.398009,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Harry Potter and the Half-Blood Prince,5293,7.4,98.885637,"['Adventure', 'Fantasy', 'Family']"
Fifty Shades of Grey,3254,5.2,98.755657,"['Drama', 'Romance', 'Thriller']"
12 Years a Slave,3674,7.9,95.9229,"['Drama', 'History']"
"I, Robot",3793,6.7,95.914473,"['Action', 'Science Fiction']"
Gladiator,5439,7.9,95.301296,"['Action', 'Drama', 'Adventure']"
Ex Machina,4737,7.6,95.130041,"['Drama', 'Science Fiction']"
The Wolf of Wall Street,6571,7.9,95.007934,"['Crime', 'Drama', 'Comedy']"
The Twilight Saga: New Moon,2436,5.6,94.815867,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
The Hobbit: The Desolation of Smaug,4524,7.6,94.370564,"['Adventure', 'Fantasy']"
The Jungle Book,2892,6.7,94.199316,"['Family', 'Adventure', 'Drama', 'Fantasy']"
Alien,4470,7.9,94.184658,"['Horror', 'Action', 'Thriller', 'Science Fiction']"
Blade Runner,3509,7.9,94.056131,"['Science Fiction', 'Drama', 'Thriller']"
Psycho,2320,8.2,93.067866,"['Drama', 'Horror', 'Thriller']"
Skyfall,7604,6.9,93.004993,"['Action', 'Adventure', 'Thriller']"
Aladdin,3416,7.4,92.982009,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']"
Up,6870,7.7,92.201962,"['Animation', 'Comedy', 'Family', 'Adventure']"
Men in Black II,3114,6,91.332849,"['Action', 'Adventure', 'Comedy', 'Science Fiction']"
Black Swan,4430,7.3,91.285683,"['Drama', 'Thriller']"
Pan's Labyrinth,3041,7.6,90.809408,"['Fantasy', 'Drama', 'War']"
The Lion King,5376,8,90.457886,"['Family', 'Animation', 'Drama']"
The Bourne Legacy,2651,6,90.33681,"['Action', 'Thriller']"
Suicide Squad,7458,5.9,90.23792,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']"
The Adventures of Tintin,2061,6.7,89.938296,"['Adventure', 'Animation', 'Mystery']"
The Amazing Spider-Man,6586,6.5,89.866276,"['Action', 'Adventure', 'Fantasy']"
Birdman,4535,7.4,89.811154,"['Drama', 'Comedy']"
The Amazing Spider-Man 2,4179,6.5,89.270217,"['Action', 'Adventure', 'Fantasy']"
Monsters University,3528,7,89.186492,"['Animation', 'Family']"
Nightcrawler,3395,7.6,89.095538,"['Crime', 'Drama', 'Thriller']"
Casino Royale,3855,7.3,88.935165,"['Adventure', 'Action', 'Thriller']"
Taken 3,2200,6.1,88.844777,"['Thriller', 'Action']"
Prisoners,3085,7.9,88.496873,"['Drama', 'Thriller', 'Crime']"
"The Good, the Bad and the Ugly",2311,8.1,88.377076,['Western']
American Sniper,4469,7.4,87.53437,"['War', 'Action']"
A Bug's Life,2303,6.8,87.350802,"['Adventure', 'Animation', 'Comedy', 'Family']"
Thor,6525,6.6,86.493424,"['Adventure', 'Fantasy', 'Action']"
The Bourne Identity,3583,7.3,86.476817,"['Action', 'Drama', 'Mystery', 'Thriller']"
2001: A Space Odyssey,2998,7.9,86.201184,"['Science Fiction', 'Mystery', 'Adventure']"
Allegiant,1998,5.9,86.105615,"['Adventure', 'Science Fiction']"
Finding Nemo,6122,7.6,85.688789,"['Animation', 'Family']"
Sin City: A Dame to Kill For,1286,6.3,85.428395,"['Crime', 'Thriller']"
Jupiter Ascending,2768,5.2,85.36908,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']"
The Mask,2472,6.6,85.30318,"['Romance', 'Comedy', 'Crime', 'Fantasy']"
Ice Age: The Meltdown,2951,6.5,85.115058,"['Animation', 'Family', 'Comedy', 'Adventure']"
Kung Fu Panda,3145,6.9,84.689648,"['Adventure', 'Animation', 'Family', 'Comedy']"
V for Vendetta,4442,7.7,84.630969,"['Action', 'Thriller', 'Fantasy']"
Penguins of Madagascar,1346,6.5,84.366984,"['Family', 'Animation', 'Adventure', 'Comedy']"
The Devil Wears Prada,3088,7,83.893257,"['Comedy', 'Drama', 'Romance']"
Non-Stop,2268,6.8,83.295796,"['Action', 'Thriller', 'Mystery']"
The Purge: Anarchy,1954,6.6,82.975841,"['Horror', 'Thriller']"
Cars,3877,6.6,82.643036,"['Animation', 'Adventure', 'Comedy', 'Family']"
Spider-Man,5265,6.8,82.502566,"['Fantasy', 'Action']"
The Hangover,6173,7.2,82.21166,['Comedy']
Horrible Bosses 2,1536,6.1,82.185281,['Comedy']
Django Unchained,10099,7.8,82.121691,"['Drama', 'Western']"
The Age of Adaline,1990,7.4,82.052056,"['Fantasy', 'Drama', 'Romance']"
Shutter Island,6336,7.8,81.914696,"['Drama', 'Thriller', 'Mystery']"
World War Z,5560,6.7,81.834855,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']"
Underworld,2512,6.6,81.829237,"['Fantasy', 'Action', 'Thriller']"
Night at the Museum: Battle of the Smithsonian,1971,5.9,81.781591,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']"
Sherlock Holmes: A Game of Shadows,3886,7,81.499621,"['Adventure', 'Action', 'Crime', 'Mystery']"
Home Alone 2: Lost in New York,2395,6.3,81.487685,"['Comedy', 'Family', 'Adventure', 'Crime']"
Indiana Jones and the Last Crusade,3152,7.6,80.972475,"['Adventure', 'Action']"
Taken,4369,7.2,80.879032,"['Action', 'Thriller']"
American Beauty,3313,7.9,80.878605,['Drama']
The Pursuit of Happyness,2525,7.7,80.581367,['Drama']
Divergent,4663,6.9,80.316463,"['Adventure', 'Action', 'Science Fiction']"
Snow White and the Seven Dwarfs,1914,6.9,80.171283,"['Fantasy', 'Animation', 'Family']"
The Equalizer,2954,7.1,79.922059,"['Thriller', 'Action', 'Crime']"
Kill Bill: Vol. 1,4949,7.7,79.754966,"['Action', 'Crime']"
Harry Potter and the Prisoner of Azkaban,5877,7.7,79.679601,"['Adventure', 'Fantasy', 'Family']"
Se7en,5765,8.1,79.579532,"['Crime', 'Mystery', 'Thriller']"
Edge of Tomorrow,4858,7.6,79.456485,"['Action', 'Science Fiction']"
The Shining,3757,8.1,78.699993,"['Horror', 'Thriller']"
Alice in Wonderland,4645,6.4,78.530105,"['Family', 'Fantasy', 'Adventure']"
The Empire Strikes Back,5879,8.2,78.51783,"['Adventure', 'Action', 'Science Fiction']"
Star Trek Into Darkness,4418,7.4,78.291018,"['Action', 'Adventure', 'Science Fiction']"
Harry Potter and the Order of the Phoenix,5494,7.4,78.144395,"['Adventure', 'Fantasy', 'Family', 'Mystery']"
The Incredibles,5152,7.4,77.817571,"['Action', 'Adventure', 'Animation', 'Family']"
Mission: Impossible - Ghost Protocol,3972,6.8,77.77477,"['Action', 'Thriller', 'Adventure']"
Iron Man 3,8806,6.8,77.68208,"['Action', 'Adventure', 'Science Fiction']"
The Expendables,2926,6,77.580661,"['Thriller', 'Adventure', 'Action']"
Iron Man 2,6849,6.6,77.300194,"['Adventure', 'Action', 'Science Fiction']"
Snow White and the Huntsman,3118,5.8,77.178973,"['Adventure', 'Fantasy', 'Drama']"
Hercules,1680,5.6,76.842247,"['Action', 'Adventure']"
Ocean's Twelve,2124,6.4,76.840712,"['Thriller', 'Crime']"
Back to the Future,6079,8,76.603233,"['Adventure', 'Comedy', 'Science Fiction', 'Family']"
The Hunger Games: Catching Fire,6495,7.4,76.310119,"['Adventure', 'Action', 'Science Fiction']"
Saving Private Ryan,5048,7.9,76.041867,"['Drama', 'History', 'War']"
Indiana Jones and the Kingdom of the Crystal Skull,2495,5.7,75.674458,"['Adventure', 'Action']"
Mission: Impossible,2631,6.7,75.290998,"['Adventure', 'Action', 'Thriller']"
About Time,2067,7.8,74.817641,"['Comedy', 'Drama', 'Science Fiction']"
Run All Night,1148,6.3,74.64653,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Captain America: The First Avenger,7047,6.6,74.506246,"['Action', 'Adventure', 'Science Fiction']"
The Prestige,4391,8,74.440708,"['Drama', 'Mystery', 'Thriller']"
The Grand Budapest Hotel,4519,8,74.417456,"['Comedy', 'Drama']"
The Fault in Our Stars,3759,7.6,74.358971,"['Romance', 'Drama']"
The Terminator,4128,7.3,74.234793,"['Action', 'Thriller', 'Science Fiction']"
The Interview,2304,6.1,74.168016,"['Action', 'Comedy']"
The Cabin in the Woods,2263,6.5,73.987775,"['Horror', 'Thriller']"
Catch Me If You Can,3795,7.7,73.944049,"['Drama', 'Crime']"
Cloud Atlas,2977,6.6,73.872343,"['Drama', 'Science Fiction']"
Wanted,2528,6.4,73.82289,"['Action', 'Thriller', 'Crime']"
TRON: Legacy,2841,6.3,73.79505,"['Adventure', 'Action', 'Science Fiction']"
Amélie,3310,7.8,73.720244,"['Comedy', 'Romance']"
Toy Story,5269,7.7,73.640445,"['Animation', 'Comedy', 'Family']"
Star Trek,4518,7.4,73.616808,"['Science Fiction', 'Action', 'Adventure']"
Toy Story 2,3806,7.3,73.575118,"['Animation', 'Comedy', 'Family']"
American History X,3016,8.2,73.567232,['Drama']
The Matrix Revolutions,3096,6.4,73.313918,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
The Butterfly Effect,2060,7.3,73.307513,"['Science Fiction', 'Thriller']"
The Sixth Sense,3147,7.7,73.085576,"['Mystery', 'Thriller', 'Drama']"
Trainwreck,1181,5.9,72.774941,['Comedy']
Sex Tape,1695,5.3,72.641296,['Comedy']
Inglourious Basterds,6430,7.9,72.595961,"['Drama', 'Action', 'Thriller', 'War']"
Captain America: The Winter Soldier,5764,7.6,72.225265,"['Action', 'Adventure', 'Science Fiction']"
Rocky,1791,7.5,72.19808,['Drama']
Terminator Salvation,2463,5.9,71.862892,"['Action', 'Science Fiction', 'Thriller']"
300: Rise of an Empire,2397,6.1,71.510596,"['Action', 'War']"
Pitch Perfect 2,1940,6.8,71.496894,"['Comedy', 'Music']"
Now You See Me,5487,7.3,71.124686,"['Thriller', 'Crime']"
I Am Legend,4853,6.9,70.867401,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']"
The Matrix Reloaded,3443,6.7,70.78591,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
Let's Be Cops,1219,6.4,70.668923,['Comedy']
Million Dollar Baby,2439,7.7,70.456012,['Drama']
Gattaca,1808,7.5,70.398356,"['Thriller', 'Science Fiction', 'Mystery', 'Romance']"
Scarface,2948,8,70.105981,"['Action', 'Crime', 'Drama', 'Thriller']"
Ice Age: Dawn of the Dinosaurs,2271,6.5,69.457898,"['Animation', 'Comedy', 'Family', 'Adventure']"
Terminator 3: Rise of the Machines,2143,5.9,69.405188,"['Action', 'Thriller', 'Science Fiction']"
The Social Network,3391,7.1,69.27822,['Drama']
Prometheus,5080,6.3,68.889395,"['Science Fiction', 'Adventure', 'Mystery']"
Ted,4697,6.3,68.87691,"['Comedy', 'Fantasy']"
The Conjuring 2,1949,7,68.794673,['Horror']
Megamind,1918,6.7,68.757242,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']"
Ted 2,2463,6.2,68.734513,['Comedy']
The Hateful Eight,4274,7.6,68.717016,"['Crime', 'Drama', 'Mystery', 'Western']"
The Hunger Games,9455,6.9,68.550698,"['Science Fiction', 'Adventure', 'Fantasy']"
Raiders of the Lost Ark,3854,7.7,68.159596,"['Adventure', 'Action']"
Apollo 13,1599,7.3,68.140214,['Drama']
Dumb and Dumber To,1127,5.4,67.767785,['Comedy']
Oblivion,4800,6.4,67.698004,"['Action', 'Science Fiction', 'Adventure', 'Mystery']"
Aliens,3220,7.7,67.66094,"['Horror', 'Action', 'Thriller', 'Science Fiction']"
Grease,1581,7.2,67.608041,['Romance']
Angels & Demons,2129,6.5,67.447636,"['Thriller', 'Mystery']"
Mulan,2008,7.6,67.427755,"['Animation', 'Family', 'Adventure']"
The Wizard of Oz,1642,7.4,67.417542,"['Adventure', 'Family', 'Fantasy']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2629,6.7,67.391328,"['Adventure', 'Family', 'Fantasy']"
Elysium,3439,6.4,67.33767,"['Science Fiction', 'Action', 'Drama', 'Thriller']"
Shrek,4056,7.3,67.298732,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
How to Train Your Dragon,4227,7.5,67.263269,"['Fantasy', 'Adventure', 'Animation', 'Family']"
Blade II,1528,6.2,67.169587,"['Fantasy', 'Horror', 'Action', 'Thriller']"
Indiana Jones and the Temple of Doom,2781,7.1,66.976776,"['Adventure', 'Action']"
Reservoir Dogs,3697,8,66.925866,"['Crime', 'Thriller']"
Troy,2759,6.9,66.803149,"['Adventure', 'Drama', 'War']"
RoboCop,2342,5.7,66.757869,"['Action', 'Science Fiction']"
WALL·E,6296,7.8,66.390712,"['Animation', 'Family']"
